名稱,價格,顏色,成分,描述,路徑,description
高領羅紋針織套衫,NT$999,淺米色,短版上衣，柔軟棉質平紋布料，合身剪裁，低領口，短袖款式，平切下襬。,"棉 95%, 彈性纖維 5%",image/hm/woman/84.jpg,
Oversized blazer,"NT$1,999",灰色/人字紋,綢緞中長裙，帶柔軟垂墜感，合身剪裁，一側有隱形拉鍊和單顆鈕扣，平切裙襬。,聚酯纖維 100%,image/hm/woman/85.jpg,
紋理感平紋洋裝,NT$799,淺米色,T恤，柔軟棉質平紋布料，方形剪裁，羅紋圓領，垂肩寬鬆五分袖。,棉 100%,image/hm/woman/86.jpg,
綁帶大衣,"NT$2,499",米色,棉質平紋丁字褲，中腰剪裁，褲襠有內裡。,"棉 95%, 彈性纖維 5%",image/hm/woman/87.jpg,
拉鍊泰迪熊外套,"NT$1,799",黑色,羅紋平紋T恤，柔軟棉質莫代爾纖維布料，合身剪裁，領口有窄飾邊，平切下襬。,"棉 48%, 莫代爾纖維 47%, 彈性纖維 5%",image/hm/woman/88.jpg,
鋪棉外套,"NT$1,499",黑色,柔軟羅紋針織保暖襪套，上下緣有寬邊羅紋。,聚酯纖維 100%,image/hm/woman/89.jpg,
Double-breasted blazer,"NT$1,799",淺米色,內搭褲，柔軟棉質平紋布料，高腰剪裁，覆面鬆緊帶腰圍。,"棉 95%, 彈性纖維 5%",image/hm/woman/90.jpg,
Double-breasted blazer dress,"NT$1,499",黑色,短版圓領上衣，柔軟棉質平紋布料，長袖款式。,"棉 95%, 彈性纖維 5%",image/hm/woman/91.jpg,
針織露肩洋裝,"NT$1,299",黑色,內搭褲，柔軟平紋布料，高腰剪裁，寬鬆緊帶腰圍。,"棉 95%, 彈性纖維 5%",image/hm/woman/92.jpg,
羊毛混紡外套,"NT$1,799",混米色,長袖連帽外套，柔軟棉質混紡汗衫布料，連衣帽有內裡和抽繩，正面拉鍊開襟，有前袋，羅紋袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/woman/93.jpg,
印花女衫,NT$499,黑色/米色印花,柔軟棉質平紋內褲，中腰剪裁，褲襠有內裡，背面有半包臀效果。,"棉 95%, 彈性纖維 5%",image/hm/woman/94.jpg,
亮片洋裝,"NT$1,999",黑色,短洋裝，棉質混紡汗衫布料，休閒剪裁，垂肩長袖，羅紋領口、袖口和裙襬。,"棉 58%, 聚酯纖維 42%",image/hm/woman/95.jpg,
長版鋪棉外套,"NT$1,999",灰色,哺乳背心上衣，柔軟棉質平紋布料，可調式細肩帶。柔軟底衫有鬆緊帶下緣和機能扣，方便哺乳。,"棉 94%, 彈性纖維 3%, 嫘縈 3%",image/hm/woman/96.jpg,
Teddy jacket,"NT$1,999",淺米色,長褲，棉質混紡平織布料，高腰剪裁，腰後有覆面鬆緊帶，假門襟，有斜側袋和假嵌線後袋，收窄褲管有褶線。腰部拼接羅紋寬布段，讓腹部穿著更服貼。,"棉 53%, 聚酯纖維 44%, 彈性纖維 3%",image/hm/woman/97.jpg,
紋理感平紋洋裝,NT$799,淺米色,精織中長版洋裝，柔軟喀什米爾羊毛布料，休閒剪裁，低垂肩加長衣袖。平切裙襬，兩側開衩。羅紋圓高領、袖口和裙襬。,喀什米爾羊毛 100%,image/hm/woman/98.jpg,
羅紋上衣,NT$349,深灰色,Soft jersey nursing tops in a classic T-shirt style with a double layer at the front and a practical inner top for easier nursing access. Round neckline and dropped shoulders.,棉 100%,image/hm/woman/99.jpg,
綁帶大衣,"NT$1,999",深灰色,仿皮購物包，雙提把，包口有磁扣，有一個拉鍊式內夾層。無內裡。長40公分，高40公分，寬13公分。,聚酯纖維 100%,image/hm/woman/100.jpg,
工作褲,NT$999,白色,羊毛經典貝雷帽。,"羊毛 95%, 聚醯胺纖維 5%",image/hm/woman/101.jpg,
Oversized double-breasted blazer,"NT$1,799",奶油色,九分煙管褲，彈性平織布料，中腰剪裁，隱形鬆緊帶腰圍，拉鍊門襟配隱形鉤扣，有側袋和假後袋，褲管收窄。,聚酯纖維 100%,image/hm/woman/102.jpg,
連帽上衣,NT$599,灰藍色,長袖哺乳上衣，棉質羅紋平紋布料，圓領。上部雙層設計，內襯實用底衫，方便哺乳。,"棉 95%, 彈性纖維 5%",image/hm/woman/103.jpg,
Bouclé-knit dress,"NT$1,499",奶油色,"Fitted dress in a rib knit containing some wool with a turtle neck, dropped shoulders, long sleeves and a straight hem.","聚酯纖維 54%, 聚丙烯腈纖維 41%, 羊毛 5%",image/hm/woman/104.jpg,
水鑽洋裝,"NT$1,999",黑色,極細纖維內搭褲，特殊設計可減少接縫，增加舒適度和靈活度。高腰剪裁，覆面鬆緊帶腰圍拼接羅紋布段，讓腹部穿著更服貼。,"聚醯胺纖維 92%, 彈性纖維 8%",image/hm/woman/105.jpg,
加大碼拉鍊套衫,NT$799,深灰色,水洗彈性丹寧牛仔褲，有假前袋和真後袋，超緊身褲管，高腰剪裁，腰後為丹寧布料，腰部正面拼接平紋寬布段，讓腹部穿著更服貼。,"棉 95%, 彈性纖維 5%",image/hm/woman/106.jpg,
Aviator jacket,"NT$2,499",黑色,長袖圓高領上衣，棉質羅紋平紋布料。,"棉 95%, 彈性纖維 5%",image/hm/woman/107.jpg,
立領洋裝,NT$599,黑色,柔軟精織手套，羅紋套口。拇指和食指指尖採用特殊材質，可使用觸控螢幕。,"聚丙烯腈纖維 90%, 聚醯胺纖維 5%, 羊毛 2%, 彈性纖維 2%, 聚酯纖維 1%",image/hm/woman/108.jpg,
