名稱,價格,顏色,成分,描述,路徑,description
標準剪裁絨布襯衫,NT$799,黑色,平織車縫薄鋪棉背心，立領，正面拉鍊有防磨擋布，貼身剪裁，有拉鍊式隱形側袋和開口式暗袋。袖口有細彈性飾邊。無內裡。,聚酯纖維 100%,image/hm/man/72.jpg,
標準剪裁華夫格襯衫,"NT$1,799",深咖啡色,有領夾克襯衫，毛氈布料，正面拉鍊開襟，背面有肩襠，有翻蓋式胸袋，長袖袖口有單衩和鈕扣，平切下襬。標準剪裁，打造舒適經典線條。,聚酯纖維 100%,image/hm/man/73.jpg,
DryMove™寬鬆剪裁T恤,NT$799,淺米色,柔軟針織開襟衫，標準剪裁，正面鈕扣開襟，有側袋，長袖款式。羅紋寬高領、袋口、袖口、下襬和鈕扣門襟。,"聚丙烯腈纖維 65%, 聚醯胺纖維 25%, 羊毛 10%",image/hm/man/74.jpg,
貼身牛仔褲,NT$799,深丹寧藍,運動短褲，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。合身剪裁，鬆緊帶腰圍有抽繩和繩扣，有斜側袋、隱形魔鬼粘式翻蓋褲管袋。採四面彈性織法，可提供極佳舒適感，增加靈活度。,"聚酯纖維 88%, 彈性纖維 12%",image/hm/man/75.jpg,
標準剪裁拉鍊運動衫,NT$799,白色,運動背心上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，羅紋圓領。平切下襬，兩側開小衩，後襬略長。,"聚酯纖維 95%, 彈性纖維 5%",image/hm/man/76.jpg,
DryMove™健美合身剪裁運動上衣,NT$699,黑色,"Loose-fit overshirt in a soft bouclé weave with a collar, buttons down the front, open chest pockets, long sleeves and buttoned cuffs. Partly lined.",聚酯纖維 100%,image/hm/man/77.jpg,
貼身斜紋慢跑褲,NT$999,Black,運動T恤，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。休閒剪裁，羅紋領口，微垂肩設計，下襬兩側開小衩，後襬略長。,"聚酯纖維 73%, 萊賽爾 20%, 彈性纖維 7%",image/hm/man/78.jpg,
標準剪裁連帽上衣,NT$799,黑色/Led Zeppelin,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。直筒褲管，從腰部、大腿至褲腳為貼身設計。中腰剪裁，拉鍊門襟。好穿搭，可打造時髦或運動風格。,"棉 99%, 彈性纖維 1%",image/hm/man/79.jpg,
Relaxed Fit Zip-through jacket,"NT$1,299",淺灰米色,運動背心上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，羅紋圓領。平切下襬，兩側開小衩，後襬略長。,"聚酯纖維 73%, 萊賽爾 20%, 彈性纖維 7%",image/hm/man/80.jpg,
標準剪裁華夫格襯衫,"NT$1,799",咖啡色/粉紅色格紋,運動背心上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，羅紋圓領。平切下襬，兩側開小衩，後襬略長。,"聚酯纖維 73%, 萊賽爾 20%, 彈性纖維 7%",image/hm/man/81.jpg,
印花圍巾,NT$399,酒紅色/米色格紋,5袋式棉質丹寧牛仔褲，微彈性布料，讓穿著倍添舒適。褲管收窄，腰部至褲腳為合身剪裁，腿部略為寬鬆舒適。中腰剪裁，拉鍊門襟。心愛T恤的完美搭配。,"棉 99%, 彈性纖維 1%",image/hm/man/82.jpg,
絞花針織圍巾,NT$599,淺米色,柔軟羅紋針織Polo衫，含羊毛，標準剪裁，正面有V形小開口，長袖款式。細羅紋袖口和下襬。,"聚酯纖維 58%, 聚丙烯腈纖維 36%, 羊毛 6%",image/hm/man/83.jpg,
Regular Fit Puffer gilet,"NT$1,499",黑色,圖案上衣，棉質混紡汗衫布料，休閒剪裁，羅紋圓領、袖口和下襬。柔軟刷毛內裡。,"棉 60%, 聚酯纖維 40%",image/hm/man/84.jpg,
標準剪裁平紋上衣,NT$299,米色,運動衫，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，垂肩長袖，有一個拉鍊式袖袋，羅紋圓領、袖口和下襬。,棉 100%,image/hm/man/85.jpg,
DryMove™運動T恤,NT$699,咖啡色,圖案連帽上衣，棉質混紡汗衫布料，柔軟刷毛內裡。休閒剪裁。雙層連衣帽有抽繩，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,"棉 60%, 聚酯纖維 40%",image/hm/man/86.jpg,
DryMove™棉質工作慢跑褲,"NT$1,499",黑色,長袖上衣，輕薄棉質平紋布料，羅紋圓領，平切下襬。標準剪裁，打造舒適經典線條。,棉 100%,image/hm/man/87.jpg,
DryMove™健美合身剪裁運動上衣,NT$699,橘色,運動慢跑褲，汗衫布料，柔軟刷毛內裡。中腰剪裁，覆面鬆緊帶腰圍配隱形抽繩，側縫處有口袋，收窄褲管，羅紋褲腳。,"棉 66%, 聚酯纖維 34%",image/hm/man/88.jpg,
合身運動長褲,NT$599,深灰米色,嫘縈襯衫，標準剪裁，翻領，經典前襟設計，背面有肩襠。長袖袖口配鈕扣，袖衩配單顆鈕扣，圓邊下襬。,嫘縈 100%,image/hm/man/89.jpg,
輕薄鋪棉外套,"NT$1,299",黑色,羅紋針織帽，有寬反折帽邊。,"聚酯纖維 55%, 聚丙烯腈纖維 45%",image/hm/man/90.jpg,
貼身輕薄鋪棉背心,NT$999,米色,汗衫布料慢跑褲，柔軟刷毛內裡，貼身剪裁，鬆緊帶腰圍配隱形抽繩，假門襟，有側袋。,"棉 60%, 聚酯纖維 40%",image/hm/man/91.jpg,
標準剪裁起絨襯衫,NT$999,黑色/白色,連帽上衣，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，交疊式連衣帽有內裡，垂肩長袖，有袋鼠袋，羅紋袖口和下襬。,棉 100%,image/hm/man/92.jpg,
針織帽,NT$299,深咖啡色,運動衫，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。寬鬆剪裁，垂肩長袖，有一個拉鍊式袖袋，羅紋圓領、袖口和下襬。,棉 100%,image/hm/man/93.jpg,
貼花棒球帽,NT$449,深藍色/米色,有領橄欖球衫，柔軟棉質平紋布料，標準剪裁，隱形鈕扣半開襟，長袖有羅紋袖口，下襬兩側開小衩。,棉 100%,image/hm/man/94.jpg,
寬鬆牛仔褲,"NT$1,499",淺丹寧藍,Shoes with lacing and a moccasin seam at the front. Cotton canvas linings and insoles and rubber soles that are patterned underneath. Heel 1.5 cm.,棉 100%,image/hm/man/95.jpg,
標準剪裁法蘭絨襯衫,NT$799,綠色/格紋,長袖Polo衫，華夫格棉質混紡平紋布料，貼身剪裁，鈕扣半開襟，平切下襬，兩側開小衩。,"棉 53%, 聚酯纖維 47%",image/hm/man/96.jpg,
窄管牛仔褲,"NT$1,499",丹寧藍,"Sports T-shirt in DryMove™ functional fabric that helps to wick away moisture from your skin, keeping you comfortably dry while you move. Regular fit with a narrow trim around the neckline and a print motif on the front.",聚酯纖維 100%,image/hm/man/97.jpg,
標準剪裁圓高領上衣,NT$599,米色,運動T恤，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。休閒剪裁，羅紋領口，微垂肩設計，下襬兩側開小衩，後襬略長。,"聚酯纖維 73%, 萊賽爾 20%, 彈性纖維 7%",image/hm/man/98.jpg,
輕薄鋪棉外套,"NT$1,299",海軍藍,柔軟毛圈紗針織套衫，標準剪裁，垂肩長袖，羅紋圓領、袖口和下襬。,"聚丙烯腈纖維 80%, 聚酯纖維 20%",image/hm/man/99.jpg,
貼身牛仔褲,"NT$1,499",丹寧藍,運動短褲，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。合身剪裁，鬆緊帶腰圍有抽繩和繩扣，有斜側袋、隱形魔鬼粘式翻蓋褲管袋。採四面彈性織法，可提供極佳舒適感，增加靈活度。,"聚酯纖維 88%, 彈性纖維 12%",image/hm/man/100.jpg,
DryMove™網布運動短褲,NT$999,黑色,彈性運動短褲，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。貼身剪裁，鬆緊帶腰圍，防磨平鎖式縫線可增加舒適度和靈活度。,"聚酯纖維 91%, 彈性纖維 9%",image/hm/man/101.jpg,
標準剪裁府綢襯衫,NT$799,白色,柔軟絨毛上衣，寬鬆剪裁，立領，上部有拉鍊，垂肩長袖，袖口有鬆緊帶，有一個隱形拉鍊式翻蓋大前袋、一個隱形袋鼠袋。下襬隱形彈性抽繩有繩扣。,"棉 60%, 聚酯纖維 40%",image/hm/man/102.jpg,
標準剪裁府綢襯衫,NT$799,黑色,柔軟保暖絨毛上衣，立領，上部有拉鍊，垂肩長袖，袖口有覆面鬆緊帶。寬鬆剪裁，有嵌線斜側袋，下襬有彈性抽繩。,聚酯纖維 100%,image/hm/man/103.jpg,
標準剪裁Polo衫,"NT$1,299",深藍色,柔軟棉質絨布長褲，正面上部有抓褶，可增加寬鬆度。合身剪裁，拉鍊門襟配鈕扣，有斜側袋和鈕扣式嵌線後袋。,"聚酯纖維 65%, 棉 35%",image/hm/man/104.jpg,
連帽飛行員外套,"NT$2,999",黑色,"Ankle-length joggers in twill. Regular fit with covered elastication at the waist, a zip fly and button, diagonal side pockets, welt back pockets with a button, and straight legs.","聚酯纖維 69%, 嫘縈 29%, 彈性纖維 2%",image/hm/man/105.jpg,
標準剪裁仿蕾絲襯衫,"NT$1,499",黑色/花朵,圖案運動T恤，DryMove™機能布料，有助於排除肌膚上的汗水，讓您在活動時保持乾爽舒適。休閒剪裁，羅紋領口，垂肩設計。,"棉 57%, 聚酯纖維 43%",image/hm/man/106.jpg,
DryMove™吊帶短車褲,"NT$2,999",黑色,運動慢跑褲，汗衫布料，柔軟刷毛內裡。中腰剪裁，覆面鬆緊帶腰圍配隱形抽繩，側縫處有口袋，收窄褲管，羅紋褲腳。,"棉 66%, 聚酯纖維 34%",image/hm/man/107.jpg,
加大碼圖案連帽上衣,"NT$1,499",藍色/Metallica,柔軟棉質絨布襯衫，標準剪裁，翻領，經典前襟設計，背面有肩襠，長袖袖口配可調式鈕扣，袖衩配單顆鈕扣，圓邊下襬。,棉 100%,image/hm/man/108.jpg,
